attempt_id,name,question_id,section,question,answer,score,date
thelearnerman_20260613111058,thelearnerman,c1,Creativity,Suggest as many unusual uses of a plastic bottle as you can.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,c2,Creativity,Imagine schools had no classrooms. How can learning still happen properly?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,c3,Creativity,Combine a pen and a mobile phone to create a new useful product.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,c4,Creativity,Give a new idea to make boring lectures more interesting without using expensive technology.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,c5,Creativity,"If electricity was available only 4 hours a day, what creative solution would you design?",,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,p1,Problem Solving,How would you reduce traffic in a city without building new roads?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,p2,Problem Solving,A village has internet but students do not have laptops. Design a practical solution.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,p3,Problem Solving,How can a college reduce food waste in the mess?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,p4,Problem Solving,Design a low-cost way to help blind people identify medicines at home.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,p5,Problem Solving,How would you help students who are afraid to ask doubts in class?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,r1,Research Aptitude,Look at this problem: students lose focus while studying. Write 5 deeper questions that should be researched before solving it.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,r2,Research Aptitude,Choose any common object around you and write what hidden problems can be studied about it.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,r3,Research Aptitude,"If you had to improve public transport, what data would you collect first and why?",,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,r4,Research Aptitude,Write one question about human behaviour that technology can help answer.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,r5,Research Aptitude,Find a small daily-life problem that most people ignore and explain why it matters.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,i1,Invention Challenge,Invent a device that can help students remember things better. Mention how it works.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,i2,Invention Challenge,Design a smart dustbin for college. What features will it have?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,i3,Invention Challenge,Create an idea for a wearable gadget that solves a real problem.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,i4,Invention Challenge,Suggest one invention that can help farmers using very low budget.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,i5,Invention Challenge,Design something useful for hostel students that does not already commonly exist.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,l1,Pattern Recognition,"Find the next number: 2, 6, 12, 20, 30, ?",36,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,l2,Pattern Recognition,"Find the next term: A, C, F, J, O, ?",T,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,l3,Pattern Recognition,"If CAT = 3120 and DOG = 4157, then BAT = ?",2120,100,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,l4,Pattern Recognition,Which word is different from the others?,Idea,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,l5,Pattern Recognition,Find the relation: Seed is to Tree as Idea is to ?,Innovation,100,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,risk1,Risk Taking,You have 2 project ideas. One is easy and common. One is difficult but unique. What will you choose and why?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,risk2,Risk Taking,"If your first prototype fails in front of others, what will you do next?",,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,risk3,Risk Taking,Would you present an incomplete but original idea or a complete but common idea? Explain.,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,risk4,Risk Taking,A teacher says your idea is unrealistic. How will you respond?,,0,2026-06-13 11:10:58
thelearnerman_20260613111058,thelearnerman,risk5,Risk Taking,You found a strange solution but nobody believes it. What will you do to prove it?,,0,2026-06-13 11:10:58
